Date/Time,FF - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),FF - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Air Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - LIBRARY 1:Zone Air Temperature [C](TimeStep),FF - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - QA 1:Zone Air Temperature [C](TimeStep),FF - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),GF - LOBBY 1:Zone Air Temperature [C](TimeStep),GF - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 12/17  00:15:00,23.278426363774223,26.0,23.13519612312164,25.0,23.30703796036217,24.0,23.503104907737505,23.0,22.709971222844587,24.0,23.51234731499956,25.0,22.25422595786753,26.0,0.0,0.0,-0.5142428456730123,-0.5307995946396925,-2.009328910162968,-1.08291249385898,-0.43116268839725297,-0.7614413150838644,-0.49357800354334175 
 12/17  00:30:00,23.284263752808187,26.0,23.138672798000314,25.0,23.295229056014797,24.0,23.525364448518694,23.0,22.714415784369855,24.0,23.532464862388974,25.0,22.27411573790812,26.0,0.0,0.0,-0.5175521445238517,-0.5367274531095431,-2.010015529643746,-1.0854573577299926,-0.43205663997960936,-0.7581777863418591,-0.4969597642512544 
 12/17  00:45:00,23.278090246195738,26.0,23.134798714286152,25.0,23.27950055106516,24.0,23.52236491950117,23.0,22.716025178184236,24.0,23.527198291134948,25.0,22.294949356611593,26.0,0.0,0.0,-0.521839083704931,-0.5433447430973328,-2.0161927422768526,-1.089169038289352,-0.43694623434589946,-0.7561435449446144,-0.5022982496080387 
 12/17  01:00:00,23.254946030355264,26.0,23.118000816982242,25.0,23.256195085681373,24.0,23.496015170008796,23.0,22.703608423364667,24.0,23.49958501443434,25.0,22.29872607488742,26.0,0.0,0.0,-0.5278721585078213,-0.5511651231259502,-2.0274897029841386,-1.095292267936577,-0.4453926293655596,-0.757286077436302,-0.5103122633049177 
 12/17  01:15:00,23.221672615790222,26.0,23.09237460552891,25.0,23.227829938276763,24.0,23.460884308049142,23.0,22.677264419797876,24.0,23.46417255888022,25.0,22.2805017311424,26.0,0.0,0.0,-0.536362391932067,-0.5601898646063508,-2.042267249698439,-1.1062896641374533,-0.45609524636347176,-0.7667962058322759,-0.5209369952002719 
 12/17  01:30:00,23.18603718729988,26.0,23.063941731679552,25.0,23.198157988429877,24.0,23.426425002199707,23.0,22.643013482873567,24.0,23.42984079466986,25.0,22.24604064517858,26.0,0.0,0.0,-0.5453145960815389,-0.5693956223196343,-2.0570829408053664,-1.1188845820110818,-0.46674178786846804,-0.7796159010588886,-0.5320172757025817 
 12/17  01:45:00,23.15126029336544,26.0,23.03579900333861,25.0,23.168927422486988,24.0,23.393948830646895,23.0,22.60610924924133,24.0,23.397484225192866,25.0,22.203197510730504,26.0,0.0,0.0,-0.5542936349857762,-0.5785752947234839,-2.071602392556843,-1.13210206949196,-0.4771583033005536,-0.7942408983339702,-0.5430383296446691 
 12/17  02:00:00,23.116929894908267,26.0,23.00808184615136,25.0,23.139875314212023,24.0,23.36139626425508,23.0,22.56850121133002,24.0,23.364977219782716,25.0,22.156602178423142,26.0,0.0,0.0,-0.5633309153803703,-0.587843352154562,-2.0862994541893625,-1.1457000231404753,-0.48770020259141483,-0.8099449340066155,-0.5541097384246255 
 12/17  02:15:00,23.08405197907465,26.0,22.982000750740234,25.0,23.111108680893416,24.0,23.33019117940837,23.0,22.5329515288689,24.0,23.333737248758144,25.0,22.112974296091764,26.0,0.0,0.0,-0.5711594278931864,-0.5967183521698542,-2.099362363184803,-1.157395290213222,-0.4971389857871934,-0.8224930182522467,-0.5640604246558406 
 12/17  02:30:00,23.05216341915441,26.0,22.957248059590782,25.0,23.082179261338663,24.0,23.3001717815569,23.0,22.499448643962353,24.0,23.30363343789931,25.0,22.07389456457864,26.0,0.0,0.0,-0.5788484890666735,-0.6057402660726743,-2.112245671837663,-1.1688458907450643,-0.5064498843264582,-0.8342629369887413,-0.5739403723026205 
 12/17  02:45:00,23.020348553583524,26.0,22.932799452100213,25.0,23.052677751151727,24.0,23.270341718683465,23.0,22.46679131610581,24.0,23.273708075337982,25.0,22.03752617070634,26.0,0.0,0.0,-0.5865447293386716,-0.6149166477776667,-2.1251140642524944,-1.1801175747584742,-0.5157484447676389,-0.8455890280669308,-0.5838271380643167 
 12/17  03:00:00,22.988265920471203,26.0,22.908056881687298,25.0,23.022664208034207,24.0,23.24025059819761,23.0,22.434089626332497,24.0,23.243534731770556,25.0,22.00207714741193,26.0,0.0,0.0,-0.594295570036934,-0.6241796963494272,-2.1380149698894946,-1.1913938490785096,-0.5250679663532383,-0.8566255240686083,-0.5937334958341892 
 12/17  03:15:00,22.954571209750103,26.0,22.88152581041476,25.0,22.991792475936077,24.0,23.208154111324312,23.0,22.399148020555053,24.0,23.211444326571897,25.0,21.96302542246657,26.0,0.0,0.0,-0.603047365677922,-0.6338784307664893,-2.1522918838662313,-1.2042271644436253,-0.5353159205592207,-0.8703029966488796,-0.6045238473728022 
 12/17  03:30:00,22.91934118113118,26.0,22.853110148562305,25.0,22.960223904431984,24.0,23.17429578400793,23.0,22.361666235691622,24.0,23.177702328958052,25.0,21.918991672860496,26.0,0.0,0.0,-0.6121719905384335,-0.6437084880989524,-2.167029497821579,-1.2176127164953903,-0.5458743882831608,-0.8851332276772398,-0.615600080929449 
 12/17  03:45:00,22.883226393203177,26.0,22.82343522273335,25.0,22.928180573632165,24.0,23.139602006470238,23.0,22.32244407967743,24.0,23.143202954975774,25.0,21.871350663813892,26.0,0.0,0.0,-0.6216073626088751,-0.6536902956369306,-2.1820717337081503,-1.2314540520269464,-0.556634098927232,-0.9006937933657959,-0.6269043893628613 
 12/17  04:00:00,22.84649411889183,26.0,22.792912353682404,25.0,22.895583273435307,24.0,23.104423188086017,23.0,22.282064032029712,24.0,23.108258483426624,25.0,21.82161907985769,26.0,0.0,0.0,-0.6313210774164807,-0.6638843034787306,-2.197380933302253,-1.2457097764004843,-0.5675724413314145,-0.9175931618588309,-0.6384359055803965 
 12/17  04:15:00,22.811013634484368,26.0,22.763529765614745,25.0,22.86308598745878,24.0,23.071115661688815,23.0,22.24329946534538,24.0,23.075115196358247,25.0,21.77546340035486,26.0,0.0,0.0,-0.6401203113602908,-0.6738163549980969,-2.2112634236617743,-1.258356521824894,-0.5775465576529021,-0.9327090879917204,-0.6490612093745569 
 12/17  04:30:00,22.77685543527218,26.0,22.73549492750116,25.0,22.830629150777025,24.0,23.03942773612878,23.0,22.206687602301674,24.0,23.04348585578027,25.0,21.734338994690976,26.0,0.0,0.0,-0.6487040249518047,-0.6838052932702512,-2.2247195489294262,-1.2706237142388659,-0.5872347009728083,-0.9456269691376127,-0.6595478439726655 
 12/17  04:45:00,22.743229636724394,26.0,22.70811622628921,25.0,22.79802555793434,24.0,23.00825144121228,23.0,22.171351462738194,24.0,23.012297661956346,25.0,21.696631363942664,26.0,0.0,0.0,-0.6571679108254018,-0.6938228774126964,-2.2380184048234546,-1.2826080029884197,-0.5968232877444911,-0.9577663659323941,-0.6698621397236761 
 12/17  05:00:00,22.70983569909672,26.0,22.68095875677218,25.0,22.765432780175516,24.0,22.977191964022484,23.0,22.136633795323483,24.0,22.981199216936567,25.0,21.66066616820901,26.0,0.0,0.0,-0.6655251281177695,-0.7037760241834222,-2.2511774836111074,-1.2943422493909316,-0.6063215575023663,-0.969389915371847,-0.6800536605567126 
 12/17  05:15:00,22.67961253765737,26.0,22.6567488710449,25.0,22.734512787753964,24.0,22.94983031382628,23.0,22.106451566871876,24.0,22.95366145673884,25.0,21.6330774249797,26.0,0.0,0.0,-0.671911893906299,-0.7126890311022772,-2.261592976817332,-1.3027598188884573,-0.6139453122567218,-0.9752907532352504,-0.6883609294464382 
 12/17  05:30:00,22.65331740277134,26.0,22.636286575351438,25.0,22.70590903549407,24.0,22.926565179192423,23.0,22.082098553364926,24.0,22.93002118787699,25.0,21.616342511668876,26.0,0.0,0.0,-0.6774551677865789,-0.7210239282088148,-2.2706519908605203,-1.3096099606731944,-0.6206424344555387,-0.978035750973284,-0.6956849986800454 
 12/17  05:45:00,22.640144572266866,26.0,22.62140916417948,25.0,22.680746554855407,24.0,22.917499668328894,23.0,22.072467686295298,24.0,22.919892333310827,25.0,21.626090069778794,26.0,0.0,247.5901410527932,-0.6805031753438642,-0.72795745373574,-2.270189723128459,-1.3077390767831751,-0.620931796467967,-0.9664160349971374,-0.6963028448469054 
 12/17  06:00:00,22.643010335909,25.0,22.613033623913793,24.0,22.66002119429831,24.0,22.924703431716893,24.0,22.081501108210983,22.0,22.925100268147112,25.0,21.669012421266793,23.0,0.0,517.3310324163779,-0.6817811901276671,-0.7335603659079846,-2.2647924877796455,-1.3009537260976198,-0.6178656120269418,-0.9459584529160376,-0.6933429679719071 
 12/17  06:15:00,22.653453911733763,25.0,22.60792277818461,24.0,22.64335657519078,24.0,22.93734834350526,24.0,22.100843047503187,22.0,22.935289963739855,25.0,21.729254885042202,23.0,0.0,873.6850895671031,-0.6833273540766345,-0.7383592366591801,-2.2600485870534848,-1.294314358779343,-0.6152160084378836,-0.9260938524164909,-0.6903275005238019 
 12/17  06:30:00,22.66782297930301,25.0,22.60580006078963,24.0,22.632111713096098,24.0,22.951770366922727,24.0,22.126046542788316,22.0,22.947215572938315,25.0,21.795951419190732,23.0,0.0,1299.2685375922515,-0.6834201719657368,-0.7411726436138911,-2.2534584395368724,-1.2848232628168694,-0.6112934981878017,-0.9034328390427111,-0.6853755949319791 
 12/17  06:45:00,22.69475709623691,25.0,22.610422508780204,24.0,22.62922257440163,24.0,22.978596342309366,24.0,22.165336859193353,22.0,22.971229679033254,25.0,21.880485464530164,23.0,0.0,2065.5294785024757,-0.680628952392997,-0.7397583141970202,-2.238836322104886,-1.2672721147822585,-0.6018793868488755,-0.8688653679555176,-0.6743468010035222 
 12/17  07:00:00,22.740155031254027,25.0,22.62506675739077,24.0,22.637158414528866,24.0,23.02349632400805,24.0,22.22591737145925,22.0,23.012684752160315,25.0,21.99370103906858,23.0,0.0,2960.410233297551,-0.6747316199099431,-0.7363283578582703,-2.2179497812405558,-1.2427624530102566,-0.5881161623822924,-0.8276881158964013,-0.6583466445584549 
 12/17  07:15:00,22.79413685085353,25.0,23.787243642687585,24.000000000000004,23.966248741533832,24.000000000000004,23.077990457077348,24.000000000000004,21.975348603389104,22.0,23.064026113480473,25.0,22.594991461416384,23.000000000000004,3345.924348588825,3971.236883599174,-0.45683428721485286,-0.5359906079259218,-2.188590329723415,-1.2747323223743543,-0.5684932409847913,-0.6885526411208214,-0.6356939821039295 
 12/17  07:30:00,22.866970336384757,26.0,25.070530989958762,26.0,23.997189817762564,23.999999999999993,23.148614679524567,26.0,22.19695003787971,24.999999999999993,23.130718080904455,23.999999999999993,23.002701715009568,24.999999999999993,2590.9237349691603,5082.156822921003,-0.20335000867406564,-0.5224891286332273,-2.1544816383252337,-1.2125518507720692,-0.5455297477465949,-0.5706793040195455,-0.6088914870908116 
 12/17  07:45:00,22.995969433031032,23.000000000000007,25.000260042008847,25.000000000000007,23.99491901337089,24.000000000000007,23.222131220226075,26.000000000000007,22.36362251094326,26.000000000000007,23.510156245540028,25.000000000000007,23.29097868210981,24.000000000000007,2983.8374310872096,6017.310147082157,-0.153199542187754,-0.5118705147181941,-2.119102802080881,-1.1559424564366434,-0.4666483476598929,-0.48074265096843727,-0.5618341974564423 
 12/17  08:00:00,22.999317794417404,23.0,24.998087108621178,25.0,23.995793894888717,24.0,23.37018240169418,26.0,22.648367770027942,26.0,23.982428118762698,25.0,23.8928988688426,24.0,3134.2988358752987,7007.604239513626,-0.10922629861477538,-0.5062947295168339,-2.064961028683999,-1.0771145520017469,-0.3641203790158581,-0.3364969874069068,-0.5365226853136895 
 12/17  08:15:00,22.999712831447425,23.000000000000004,24.38710117511818,25.0,23.971179795687142,24.000000000000004,24.778594149429168,26.0,23.33509005070489,26.0,24.07625482572554,25.0,23.98081299001263,24.000000000000004,747.9200162983261,8049.3466092698745,-0.20150245036486097,-0.5048707894845265,-1.735147250530556,-0.9054106883071402,-0.3200699694672076,-0.2599219916412666,-0.5086778494505914 
 12/17  08:30:00,23.830397468765046,25.0,23.686170743989454,24.0,23.996602398494257,24.0,24.02031675078897,24.0,22.12598540558445,22.0,24.227970958338876,25.0,23.9996610113756,24.0,4112.30895410764,9134.772899198284,-0.3139554033345872,-0.48171071288829104,-1.8394727336185146,-1.0848640250585515,-0.2667118130468498,-0.19988589660331005,-0.34412738886178196 
 12/17  08:45:00,23.026560045976055,23.0,23.73164025002639,24.999999999999996,24.000011784166833,24.0,25.37145527129291,26.0,23.287820306235773,26.0,24.37452330273257,24.999999999999996,23.999434946331583,24.0,1763.5228066463287,9994.94514688174,-0.28869689978735763,-0.45426204784903773,-1.5285519381185786,-0.8422000989380898,-0.2131069914812334,-0.1451462999197338,-0.4358262534227638 
 12/17  09:00:00,24.02931101358254,25.0,23.70713001966809,24.0,24.000041846123892,24.0,24.04605799249323,24.0,22.105102078813598,22.0,24.53491458281849,25.0,23.999485708501528,24.0,4563.452696457124,10847.121910996333,-0.26765118244083347,-0.42314785053021686,-1.7671483784680564,-1.0107873574727766,-0.1550657284590652,-0.08740015186710136,-0.24876111494058814 
 12/17  09:15:00,23.230571417281027,23.0,24.80860719281781,25.0,23.996925522758943,24.0,25.42162380971432,26.0,23.27905679488282,26.0,24.772060207285662,25.0,23.999391128730586,24.0,5682.585143491919,11680.429927830695,-0.03992044025915612,-0.3810629448723964,-1.4508213821367781,-0.7638592438064413,-0.07540636604151597,-0.030226089976145457,-0.3352388986139626 
 12/17  09:30:00,23.001362133985875,22.999999999999996,24.998106207840642,24.999999999999993,23.997957582117984,24.0,25.885208798284943,25.999999999999996,24.04336294557971,25.999999999999996,24.87277708063763,24.999999999999993,23.999353216178136,24.0,5936.260054481589,12492.725496348376,0.035317581747222895,-0.3493395522848141,-1.286086574325178,-0.5438103826682942,-0.02064085110860401,0.030146453238961365,-0.3546148861628429 
 12/17  09:45:00,22.99904302291461,23.0,24.99735550030608,25.0,23.997246076248814,24.0,25.999337452360265,26.0,24.675450927058385,26.0,24.97590436622047,25.0,23.99886459340181,24.0,6148.080589355406,13311.137994809842,0.07118689310227484,-0.3152665470263965,-1.2051336545945361,-0.35672999366310737,0.035806541265303395,0.08995960021117012,-0.32223218692490857 
 12/17  10:00:00,22.99850580215053,23.0,24.996288546070076,24.999999999999996,23.996481949122334,24.0,26.000182918699522,26.0,25.19577438192656,26.0,24.999939053644304,24.999999999999996,23.998269051850333,24.0,6438.15537562968,14105.175859769282,0.10641259979875699,-0.27958336537348716,-1.1474776545648695,-0.18829315793225454,0.08054665108050439,0.14941732563590948,-0.28867218187879384 
 12/17  10:15:00,22.998415561200073,23.0,24.996204214063894,24.999999999999996,23.9966852967248,24.0,26.00007427104282,26.0,25.963100419572164,26.0,25.000074062491034,24.999999999999996,23.998155078717634,24.0,7133.124670806137,14874.139761572345,0.13711882795879327,-0.24398213804516597,-1.078214392631658,0.03281261758464807,0.12820135798434307,0.1957937062065363,-0.26205533729690506 
 12/17  10:30:00,22.99802095298682,23.0,24.994818074882794,25.0,23.995274207844957,24.0,26.000294113540292,26.0,25.999691994353512,26.0,25.00001018676419,25.0,23.99658495281844,24.0,7770.772044887071,15613.94619879872,0.17319325126533958,-0.20382618704135158,-1.0158314970806939,0.11971129052074414,0.16658883672984387,0.25693145730485595,-0.22573627291880038 
 12/17  10:45:00,22.99782447892651,23.0,24.994652868973958,25.0,23.995074053728487,24.0,26.000174061680973,26.0,26.000000377888608,26.0,24.99964915911398,25.0,23.997037820145568,24.0,8350.026340250375,15976.116964562485,0.2025558670811809,-0.16577107615995584,-0.9470168016640266,0.2089090184698342,0.20699900861506934,0.2992051259546835,-0.2013833979805129 
 12/17  11:00:00,22.997790876499238,23.0,24.994574382133806,25.0,23.995062454153263,24.0,26.000147707412484,26.0,25.999945130881223,26.0,24.99935617069852,25.0,23.997172431093148,24.0,9149.495978810384,16306.82341152235,0.23268534553045878,-0.12716377142872798,-0.8799170051797826,0.2932332025657403,0.24153746882154928,0.3448097236671567,-0.17582190682419455 
 12/17  11:15:00,22.99888659912542,23.0,25.000010407705147,24.999999999999996,24.000031881699883,24.0,25.998462181934148,26.0,25.034047988864412,24.999999999999996,24.103099729837158,24.0,23.99599473801876,24.0,8442.99328065911,16644.761037598197,0.2521543798512926,-0.09398412884931549,-0.8455918167925418,0.16559703600062975,0.10619255706456848,0.3983289301953631,-0.14718811037691562 
 12/17  11:30:00,22.999373275397925,23.0,25.000027628707723,24.999999999999996,24.00015274336879,24.0,25.99901465484374,26.0,25.848254233743848,26.0,24.843129597514555,24.999999999999996,23.99632726629283,24.0,7129.728526611198,16938.60785273692,0.2821493319366016,-0.041535467952215945,-0.820254528392142,0.3442209562441713,0.2246846189347716,0.42986734024762246,-0.12529288183412055 
 12/17  11:45:00,22.998642009314118,23.0,25.000086835814173,25.0,24.000316817671553,24.0,25.998132362137735,26.0,25.99437575815159,26.0,24.9946503832509,25.0,23.994490477858836,24.0,7983.622616885408,16539.908322309195,0.310981581032689,-0.0030699983398473226,-0.7837670215650892,0.4406397392056848,0.2872407421878063,0.4682205329883053,-0.09894456020594827 
 12/17  12:00:00,22.998690214059863,23.0,25.00002664185166,25.0,24.000196327367746,24.0,25.998457179301624,26.0,25.999201203760904,26.0,24.99931953313889,25.0,23.99564037578672,24.0,8236.657030718525,16113.722275784921,0.3369105624294609,0.04478801528993791,-0.7599391146866082,0.49302087393638144,0.30846572700124963,0.49016989970915603,-0.08303226556866032 
 12/17  12:15:00,22.998877130205322,23.0,24.999938387792337,25.0,23.999943239581068,24.0,25.998834361024265,26.0,25.998936313835458,26.0,24.99936599038452,25.0,23.996792133777944,24.0,8639.248130717384,15641.802667137166,0.35972609214189677,0.0877025844667345,-0.7338660665633013,0.5362941095795033,0.3255964172775796,0.5147304447093145,-0.06696565320363333 
 12/17  12:30:00,22.997866660586375,23.0,24.999916676896326,25.0,24.000363945568083,24.0,25.997770194980912,26.0,25.997706474824327,26.0,24.99856359202069,25.0,23.994262182051546,24.0,9057.110208916867,15135.766010386555,0.38034687801645745,0.12578795546413998,-0.7071558896320884,0.5706257957059138,0.33925223471564897,0.5371079028673923,-0.05256935990340708 
 12/17  12:45:00,22.998924801637823,23.0,24.999906206615414,24.999999999999996,24.000341275698403,24.0,25.998818626849754,26.0,25.083105096237944,24.999999999999996,24.147843013823262,24.0,23.99712891214974,24.0,11419.473901236843,14395.89069745798,0.39839386059176163,0.15233547970119451,-0.6819643817587541,0.41991690174114293,0.20340583054717645,0.5593648553922609,-0.03609919559404693 
 12/17  13:00:00,25.02951882949956,26.000000000000036,25.52552086419437,26.000000000000036,24.0001273569439,24.000000000000036,25.999776270627386,26.000000000000036,24.99972220410638,25.00000000000004,24.00026029234947,24.000000000000036,24.92278663869822,25.00000000000004,6223.660543819485,13650.015514446333,0.410289437618316,0.13920645455484104,-0.7910693789016766,0.22175709785845824,0.08534474282331354,0.36788956245435994,0.22224678937405254 
 12/17  13:15:00,23.29780461763654,23.0,25.009532285962806,25.0,23.991121660413267,24.0,26.00001996264239,26.0,25.872797166025922,26.0,24.899920044047974,25.0,24.0391298533469,24.0,11307.308773178913,12888.75543138308,0.3426237482089959,0.09699747497746701,-0.7899865354459084,0.3638718422344572,0.2241332726507653,0.2188504688557636,-0.009633629243823829 
 12/17  13:30:00,25.392974555285683,26.0,25.914374101203123,26.0,23.994654046465005,24.000000000000004,26.000020089423362,26.0,25.03240910259457,25.0,24.083262050024857,24.000000000000004,24.913139108566064,25.0,9371.539663966742,12116.683817594674,0.47369417130516706,0.054131240291703096,-0.8066205766027501,0.18321108652481652,0.07852837408295715,0.2998775245061574,0.27337911311443575 
 12/17  13:45:00,25.83584311682458,26.0,25.99597552275756,26.0,23.993457637150314,24.0,25.999944720826598,26.0,25.000029090596076,24.999999999999996,24.001167850728617,24.0,24.998954275564834,24.999999999999996,8680.646378986494,10945.164287094578,0.4781816479458256,0.010736546348731743,-0.8366299804021556,0.1116296322123299,0.025328193294995846,0.27546340531877606,0.3529712822221736 
 12/17  14:00:00,26.00009952988102,26.0,25.995228483066604,26.0,23.99157326805484,24.0,25.999973027150087,26.0,24.99873710992321,25.0,23.998347765181247,24.0,25.00068195958078,25.0,8237.142178978418,9792.78703737934,0.4655967122293069,-0.03312934954760467,-0.8671909538074619,0.055698521002941856,-0.010716267667118962,0.23241518942698033,0.37019762570963005 
 12/17  14:15:00,26.000182439295955,26.0,25.994128208208924,26.0,23.991149779523774,24.0,26.000076193989056,26.0,24.999327906829336,25.0,23.998614688832383,24.0,25.000154637262472,25.0,7941.079307052909,8671.643353681777,0.4512827239261827,-0.07087124930032145,-0.8992142982848549,0.003936760358291283,-0.04297628820478339,0.18949523078611977,0.3613360211783702 
 12/17  14:30:00,26.00032795094398,26.0,25.9935474219153,26.0,23.991930113774668,24.0,26.0003025940794,26.0,24.999859192883903,25.0,23.99934002541663,24.0,25.00009716320214,25.0,7216.390569317416,7589.100801948397,0.4334866641867894,-0.10303098464939318,-0.9299885393418034,-0.0420580348339343,-0.06974678353524535,0.15132795704206828,0.3527391030042517 
 12/17  14:45:00,26.00031373942458,26.0,25.993293960428726,26.0,23.992603452935043,24.0,26.00065503340874,26.0,25.00024976744948,25.0,23.99992130804934,24.0,25.000092240486904,25.0,6576.949220009526,6438.21627774177,0.4157923613514848,-0.13120209603412614,-0.9588107873451722,-0.08475289723939719,-0.09172784188192108,0.11425125207715771,0.34402281322828765 
 12/17  15:00:00,26.00041654737066,26.0,25.99316563096959,26.0,23.992983657409088,24.0,26.00016827810817,26.0,25.00013192488261,25.0,24.000397674959096,24.0,25.000121090285955,25.0,6001.577429433997,5309.483418415987,0.39845901982280774,-0.15647216436469974,-0.9875218368348981,-0.12251469487219084,-0.11117552916887284,0.07679013252892376,0.3348377608671177 
 12/17  15:15:00,26.000146975754102,26.0,25.993062976613697,26.0,23.994396679905233,24.0,26.000128322240908,26.0,25.000279015528378,25.0,24.000069674496693,24.0,25.000160345197436,25.0,5444.498829981574,4207.765391991717,0.38240281416028105,-0.1768819746615123,-1.012555367013867,-0.15409864970974993,-0.1269336958989264,0.04572861097414118,0.3266536857199821 
 12/17  15:30:00,26.000186047722618,26.0,25.99286520008417,26.0,23.99471087405777,24.0,26.000175424448177,26.0,25.00045105952656,25.0,24.000168535611312,24.0,25.000100824137252,25.0,5045.25981406475,3138.221583888366,0.36645974303281176,-0.195597040030071,-1.0363834333500686,-0.18300754530129945,-0.14084971386508038,0.015352728063412808,0.32077138886655404 
 12/17  15:45:00,26.000252690513125,26.0,25.993240013442108,26.0,23.99458865371554,24.0,26.000231386749373,26.0,25.000232151527747,25.0,24.000269113947,24.0,25.0001694727635,25.0,4716.158364670793,2628.2531518286105,0.35293609411237215,-0.21307089836949297,-1.0565332042577757,-0.20687433534094093,-0.15168762720439422,-0.008560844405256363,0.31761740013304385 
 12/17  16:00:00,26.000109385618423,26.0,25.992947965872634,26.0,23.994422706693424,24.0,26.000301373285136,26.0,25.00028034914573,25.0,24.000360284710066,24.0,25.000124310913822,25.0,4444.645806702802,2119.2370263500147,0.3397820643959356,-0.22960897183855258,-1.075101736328625,-0.22850411993210437,-0.16115284639712493,-0.03130153736521169,0.3156369816649107 
 12/17  16:15:00,25.737514405032147,26.0,25.63836499277234,26.0,23.99994341241755,24.0,25.68324116715518,26.0,24.945108907054454,25.0,24.000087586483843,24.0,24.999472565940568,25.0,1558.591336540967,1613.8206988453146,0.2539578435373112,-0.25454335754659413,-1.1664354492941944,-0.277635874737724,-0.1784451267574775,-0.04580161764859909,0.24603725004401708 
 12/17  16:30:00,25.367299330844542,26.0,25.132326090353036,26.0,24.000073227236186,24.0,25.26932673855755,26.0,24.82145045494443,25.0,24.00002567253231,24.0,24.99914261094217,25.0,1500.552795454086,1112.7205192396002,0.15353046241719728,-0.2602676714531447,-1.2801450797623388,-0.3298634862889699,-0.18882475757537076,-0.05283203376928528,0.16734988660586445 
 12/17  16:45:00,25.131362610715364,26.0,24.818231673611454,26.0,24.000054488319797,24.0,25.063735596171593,26.0,24.67845057647189,25.0,24.00010723750486,24.0,24.99899399754159,25.0,1437.5776257909667,926.9206763348992,0.08388313559475677,-0.2652985324071483,-1.3479310402863083,-0.3827478716896673,-0.19820974488598253,-0.05913281689472843,0.10940937326886044 
 12/17  17:00:00,24.96567314855597,26.0,24.619165083022335,26.0,24.000158416047714,24.0,24.955764495563923,26.0,24.536800930425684,25.0,24.00008590044687,24.0,24.99833260646176,25.0,1347.0786742161508,746.1595644780224,0.034314458628975905,-0.27053637232045574,-1.3926658723267296,-0.43359619113413306,-0.20712268217649976,-0.06583251017955237,0.06417084448199593 
 12/17  17:15:00,24.827878764070817,26.0,24.474695253643205,26.0,24.000135525723135,24.0,24.867630382865162,26.0,24.396118656047957,25.0,24.000203594323956,24.0,24.998321932212754,25.0,1275.7443802988475,570.3931630066406,-0.003766779765964809,-0.2757189184460731,-1.43005042339133,-0.4802849529653151,-0.21482193452536627,-0.06961308873367981,0.025950762455637683 
 12/17  17:30:00,24.704478435020643,26.0,24.356011873725173,26.0,24.00011539154654,24.0,24.77738112334794,26.0,24.25983333287127,25.0,24.000102926450417,24.0,24.998364454723177,25.0,1218.8496343464642,400.7386662266158,-0.0368442802469681,-0.28118213653064494,-1.4668947569995552,-0.5250257932291015,-0.22233764995656147,-0.0732168187822463,-0.009112277378410078 
 12/17  17:45:00,24.592336909516877,26.0,24.251348956847778,26.0,24.000099963294144,24.0,24.68894352515935,26.0,24.13055176453973,25.0,24.00019287746056,24.0,24.99845096751162,25.0,1163.610133706589,319.559646270576,-0.06648253350307581,-0.28667785798395873,-1.5020946605956305,-0.5667567874264166,-0.22934731798661612,-0.0753630167241336,-0.04118973846778308 
 12/17  18:00:00,24.489182689066126,26.0,24.1555551366179,26.0,24.00010009995172,24.0,24.606888667300208,26.0,24.007827786719208,25.0,24.00012003231241,24.0,24.998281046408792,25.0,1101.2216964943407,0.0,-0.09448446488856146,-0.2923685255148734,-1.5358387602730341,-0.6072232061739047,-0.23657046414968314,-0.07986414056205311,-0.07155589541086162 
